직종코드,직종명,대분류코드,대분류명,부산공고수
028401,자재·구매 사무원(건설),0,경영·사무·금융·보험,1
028402,자재·구매 사무원(기계·자동차·금속),0,경영·사무·금융·보험,8
028405,자재·구매 사무원(음식료품),0,경영·사무·금융·보험,4
028406,자재·구매 사무원(일반 사업체),0,경영·사무·금융·보험,6
028407,창고 관리원(자재 검수원 포함),0,경영·사무·금융·보험,19
028408,물류 사무원(물류 관리사),0,경영·사무·금융·보험,7
028500,생산 및 품질관리 사무원,0,경영·사무·금융·보험,18
028502,생산관리 사무원(기계·자동차·금속),0,경영·사무·금융·보험,14
028504,생산관리 사무원(전기·전자·컴퓨터),0,경영·사무·금융·보험,4
028505,생산관리 사무원(음식료품),0,경영·사무·금융·보험,4
028506,생산관리 사무원(그 외 분야),0,경영·사무·금융·보험,3
028508,품질관리 사무원(기계·자동차·금속),0,경영·사무·금융·보험,18
028509,품질관리 사무원(화학·섬유·의료),0,경영·사무·금융·보험,2
028510,품질관리 사무원(전기·전자·컴퓨터),0,경영·사무·금융·보험,1
028511,품질관리 사무원(음식료품),0,경영·사무·금융·보험,2
028512,품질관리 사무원(그 외 분야),0,경영·사무·금융·보험,1
028900,기타 운송 및 무역 사무원,0,경영·사무·금융·보험,7
029212,취업 알선원,0,경영·사무·금융·보험,1
029903,사무 보조원(공공기관),0,경영·사무·금융·보험,1
029904,사무 보조원(일반사업체),0,경영·사무·금융·보험,10
110100,인문과학 연구원,1,연구·공학기술,2
110200,사회과학 연구원,1,연구·공학기술,2
121100,자연과학 연구원,1,연구·공학기술,1
132002,컴퓨터시스템 설계 및 분석가,1,연구·공학기술,1
133200,응용 소프트웨어 개발자,1,연구·공학기술,2
133204,"산업특화 응용 소프트웨어 프로그래머(국방,항공,교통,에너지,금융,자동차 등)",1,연구·공학기술,1
134100,네트워크 시스템 개발자,1,연구·공학기술,1
136101,정보시스템 운영자,1,연구·공학기술,2
140200,건축공학 기술자,1,연구·공학기술,1
140201,건축 현장소장,1,연구·공학기술,2
140202,건축구조 기술자,1,연구·공학기술,2
140203,건축시공 기술자(건축견적 포함),1,연구·공학기술,10
140204,건축설비 기술자,1,연구·공학기술,2
140206,건축안전·환경·품질·에너지관리 기술자,1,연구·공학기술,6
140300,토목공학 기술자,1,연구·공학기술,4
140302,토목구조 설계 기술자,1,연구·공학기술,1
140303,토목시공 기술자(토목견적 포함),1,연구·공학기술,9
140304,토목감리 기술자,1,연구·공학기술,2
140305,토목안전·환경·품질 기술자,1,연구·공학기술,2
140400,조경 기술자,1,연구·공학기술,2
140501,도시 계획·설계가,1,연구·공학기술,1
151100,기계공학 기술자 및 연구원,1,연구·공학기술,7
151101,산업기계공학 기술자 및 연구원,1,연구·공학기술,2
151104,플랜트공학 기술자 및 연구원,1,연구·공학기술,1
151105,냉난방·공조공학 기술자 및 연구원,1,연구·공학기술,1
151106,조선·해양공학 기술자 및 연구원,1,연구·공학기술,6
151108,자동차공학 기술자 및 연구원,1,연구·공학기술,1
153100,전기공학 기술자 및 연구원,1,연구·공학기술,2
153101,전기기기·제품 개발 기술자 및 연구원,1,연구·공학기술,1
153102,"전기계측 제어 기술자(전기패널, 계장, 공정자동화전기 등)",1,연구·공학기술,2
153103,발전설비 기술자,1,연구·공학기술,1
153105,전기공사 기술자(전기견적 포함),1,연구·공학기술,12
153106,전기감리 기술자,1,연구·공학기술,1
153107,전기안전 기술자,1,연구·공학기술,2
153300,전자공학 기술자 및 연구원,1,연구·공학기술,1
153301,전자부품 개발 기술자 및 연구원,1,연구·공학기술,1
153305,전자제어계측 기술자 및 연구원,1,연구·공학기술,1
154100,화학공학 기술자 및 연구원,1,연구·공학기술,1
155101,가스 기술자 및 연구원,1,연구·공학기술,2
155102,"에너지공학 기술자 및 연구원(에너지, 탐사, 시추)",1,연구·공학기술,1
155300,신재생에너지 기술자 및 연구원,1,연구·공학기술,1
155500,환경공학 기술자 및 연구원,1,연구·공학기술,2
155501,대기 환경 기술자 및 연구원,1,연구·공학기술,3
157100,식품공학 기술자 및 연구원,1,연구·공학기술,1
158100,소방공학 기술자 및 연구원,1,연구·공학기술,1
158101,소방설계 기술자,1,연구·공학기술,2
158102,소방시설·설비 시공 기술자,1,연구·공학기술,11
158103,소방공사 감리 기술자,1,연구·공학기술,1
158200,방재 기술자 및 연구원,1,연구·공학기술,1
158302,비파괴 검사원,1,연구·공학기술,2
158400,산업안전 및 산업위험 관리 기술자,1,연구·공학기술,2
159101,건축 제도사(캐드원),1,연구·공학기술,1
159103,기계·금속 제도사(캐드원),1,연구·공학기술,35
159104,전기·전자 장비 제도사(캐드원),1,연구·공학기술,6
159105,3D 프린팅 제도사,1,연구·공학기술,1
159106,기타 제도사(캐드원),1,연구·공학기술,3
212101,국어 교사,2,교육·법률·사회복지·경찰·소방·군인,1
212102,수학 교사,2,교육·법률·사회복지·경찰·소방·군인,1
212300,특수교육 교사,2,교육·법률·사회복지·경찰·소방·군인,1
213000,유치원 교사,2,교육·법률·사회복지·경찰·소방·군인,4
214101,영어 강사,2,교육·법률·사회복지·경찰·소방·군인,1
214202,수학 강사,2,교육·법률·사회복지·경찰·소방·군인,2
214300,정보통신기술 강사,2,교육·법률·사회복지·경찰·소방·군인,1
214400,기술 및 기능계 강사,2,교육·법률·사회복지·경찰·소방·군인,2
214401,디자인·캐드 강사,2,교육·법률·사회복지·경찰·소방·군인,2
214402,이미용·예식 강사,2,교육·법률·사회복지·경찰·소방·군인,1
214404,기계·금속·전기·전자 강사,2,교육·법률·사회복지·경찰·소방·군인,2
214405,건설토목강사,2,교육·법률·사회복지·경찰·소방·군인,1
214500,간호조무 및 요양보호 강사,2,교육·법률·사회복지·경찰·소방·군인,1
214600,자동차 운전 강사,2,교육·법률·사회복지·경찰·소방·군인,1
214701,미술 강사,2,교육·법률·사회복지·경찰·소방·군인,1
214702,음악 강사,2,교육·법률·사회복지·경찰·소방·군인,1
215102,교재·교구 및 e-learning 교육 전문가,2,교육·법률·사회복지·경찰·소방·군인,1
215300,교사보조 및 관련 종사원,2,교육·법률·사회복지·경찰·소방·군인,2
222001,"법률 사무원(법원, 로펌, 법무사무소 등)",2,교육·법률·사회복지·경찰·소방·군인,1
231100,사회복지사,2,교육·법률·사회복지·경찰·소방·군인,51
231101,사회복지사(사회복지시설),2,교육·법률·사회복지·경찰·소방·군인,44
231201,심리상담 전문가,2,교육·법률·사회복지·경찰·소방·군인,3
231400,직업 관련 상담사,2,교육·법률·사회복지·경찰·소방·군인,8
232100,보육교사,2,교육·법률·사회복지·경찰·소방·군인,55
232200,보육 관련 시설 돌봄 종사원,2,교육·법률·사회복지·경찰·소방·군인,3
232900,기타 사회복지 전문가 및 관련 종사원,2,교육·법률·사회복지·경찰·소방·군인,3
232902,아동 생활지도원,2,교육·법률·사회복지·경찰·소방·군인,2
232903,장애인 생활지도원(장애인활동보조원 포함),2,교육·법률·사회복지·경찰·소방·군인,38
232904,그 외 사회복지 종사원,2,교육·법률·사회복지·경찰·소방·군인,7
304000,간호사,3,보건·의료,12
304001,전문 간호사,3,보건·의료,1
304002,일반 간호사,3,보건·의료,4
305000,영양사,3,보건·의료,10
306200,방사선사,3,보건·의료,3
306400,치과위생사,3,보건·의료,3
306500,물리 및 작업 치료사,3,보건·의료,3
306501,물리치료사,3,보건·의료,5
306502,작업치료사,3,보건·의료,1
306800,언어 및 청각능력 재활사,3,보건·의료,2
306901,놀이·음악·미술·독서 등 치료사,3,보건·의료,1
307300,안경사,3,보건·의료,2
307500,간호조무사,3,보건·의료,30
307501,간호조무사(요양병원 제외),3,보건·의료,2
307502,요양병원 간호조무사,3,보건·의료,1
307900,기타 돌봄 및 보건 서비스 종사원,3,보건·의료,2
307902,산후조리 종사원(산모 도우미),3,보건·의료,3
307903,기타 보건·의료 서비스 종사원,3,보건·의료,6
415100,제품 디자이너,4,예술·디자인·방송·스포츠,3
415103,가구 디자이너,4,예술·디자인·방송·스포츠,1
415301,인테리어 디자이너,4,예술·디자인·방송·스포츠,4
415401,광고디자이너,4,예술·디자인·방송·스포츠,2
415402,책·인쇄물·출판 디자이너,4,예술·디자인·방송·스포츠,2
415406,기타 시각 디자이너,4,예술·디자인·방송·스포츠,2
415500,미디어 콘텐츠 디자이너,4,예술·디자인·방송·스포츠,1
415501,웹 디자이너,4,예술·디자인·방송·스포츠,2
415502,게임 디자이너,4,예술·디자인·방송·스포츠,1
415504,UX/UI 디자이너,4,예술·디자인·방송·스포츠,1
416100,감독 및 기술 감독,4,예술·디자인·방송·스포츠,1
420100,스포츠 감독 및 코치,4,예술·디자인·방송·스포츠,1
420400,스포츠 강사 및 트레이너,4,예술·디자인·방송·스포츠,1
420402,수영·골프·테니스·배드민턴·탁구 등 스포츠 강사,4,예술·디자인·방송·스포츠,3
511400,피부 및 체형 관리사,5,미용·여행·숙박·음식·경비·돌봄·청소,1
511401,피부 및 체형 관리사(발관리사 포함),5,미용·여행·숙박·음식·경비·돌봄·청소,1
521200,여행 사무원,5,미용·여행·숙박·음식·경비·돌봄·청소,1
521303,"박물관,미술관,문화,역사,자연환경 등 각종 해설사",5,미용·여행·숙박·음식·경비·돌봄·청소,1
523000,숙박시설 서비스 종사원,5,미용·여행·숙박·음식·경비·돌봄·청소,1
524002,테마파크 서비스원,5,미용·여행·숙박·음식·경비·돌봄·청소,1
531200,한식 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,6
531500,일식 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,3
531800,단체급식 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,19
531801,학교 급식 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,2
531802,유치원·어린이집 급식 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,15
531803,병원 급식 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,37
531804,사업체 구내식당 급식 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,11
531900,기타 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,5
531901,분식 조리사,5,미용·여행·숙박·음식·경비·돌봄·청소,1
532200,식음료 서비스 종사원,5,미용·여행·숙박·음식·경비·돌봄·청소,3
532201,호텔·레스토랑 웨이터·웨이트리스,5,미용·여행·숙박·음식·경비·돌봄·청소,1
532202,일반 음식점 접객서빙원,5,미용·여행·숙박·음식·경비·돌봄·청소,6
532203,주점·커피숍 접객서빙원,5,미용·여행·숙박·음식·경비·돌봄·청소,1
532300,주방 보조원,5,미용·여행·숙박·음식·경비·돌봄·청소,14
532301,주방 보조원(일반 음식점),5,미용·여행·숙박·음식·경비·돌봄·청소,13
532302,단체 급식 보조원,5,미용·여행·숙박·음식·경비·돌봄·청소,27
532900,기타 식음료 서비스 종사원(병원 배식원),5,미용·여행·숙박·음식·경비·돌봄·청소,3
541300,시설 및 특수 경비원,5,미용·여행·숙박·음식·경비·돌봄·청소,3
541400,보안 관제원,5,미용·여행·숙박·음식·경비·돌봄·청소,1
541900,기타 경호 및 보안 관련 종사원,5,미용·여행·숙박·음식·경비·돌봄·청소,3
541903,레저·테마파크 안전요원,5,미용·여행·숙박·음식·경비·돌봄·청소,1
542000,건물 관리원,5,미용·여행·숙박·음식·경비·돌봄·청소,2
542001,아파트·빌라 경비원,5,미용·여행·숙박·음식·경비·돌봄·청소,6
542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",5,미용·여행·숙박·음식·경비·돌봄·청소,5
542003,공사현장 경비원,5,미용·여행·숙박·음식·경비·돌봄·청소,1
550100,요양보호사,5,미용·여행·숙박·음식·경비·돌봄·청소,97
550101,요양보호사(노인요양사),5,미용·여행·숙박·음식·경비·돌봄·청소,83
550102,재가 요양보호사,5,미용·여행·숙박·음식·경비·돌봄·청소,352
550400,장애인 돌봄 종사원,5,미용·여행·숙박·음식·경비·돌봄·청소,3
561100,건물 청소원,5,미용·여행·숙박·음식·경비·돌봄·청소,24
561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",5,미용·여행·숙박·음식·경비·돌봄·청소,47
561102,"호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)",5,미용·여행·숙박·음식·경비·돌봄·청소,15
561201,특수 크리닝장비 청소원,5,미용·여행·숙박·음식·경비·돌봄·청소,1
561300,거리 및 공공장소 청소원(환경 미화원),5,미용·여행·숙박·음식·경비·돌봄·청소,2
561400,재활용품 및 쓰레기 수거원,5,미용·여행·숙박·음식·경비·돌봄·청소,5
561900,기타 청소 관련 종사원(놀이공원 등),5,미용·여행·숙박·음식·경비·돌봄·청소,1
563200,세탁원 및 다림질원,5,미용·여행·숙박·음식·경비·돌봄·청소,3
564100,계기 검침원 및 가스 점검원,5,미용·여행·숙박·음식·경비·돌봄·청소,1
564300,주차 관리원 및 안내원,5,미용·여행·숙박·음식·경비·돌봄·청소,7
564900,기타 서비스 관련 단순 종사원,5,미용·여행·숙박·음식·경비·돌봄·청소,3
564903,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",5,미용·여행·숙박·음식·경비·돌봄·청소,1
612100,기술 영업원,6,영업·판매·운전·운송,2
612101,자동차부품 및 운송장비 기술영업원,6,영업·판매·운전·운송,1
612102,기계장비 기술영업원,6,영업·판매·운전·운송,2
612104,전기·전자장비 기술영업원,6,영업·판매·운전·운송,3
612105,의료장비 기술영업원,6,영업·판매·운전·운송,1
612106,"IT 기술영업원(전산장비,소프트웨어)",6,영업·판매·운전·운송,2
612107,의약품 영업원(제약 영업원),6,영업·판매·운전·운송,1
612108,기타 기술영업원,6,영업·판매·운전·운송,1
612200,해외 영업원,6,영업·판매·운전·운송,2
612201,해외 영업원(영어),6,영업·판매·운전·운송,6
613200,제품 영업원,6,영업·판매·운전·운송,2
613201,식품·주류 영업원,6,영업·판매·운전·운송,2
613202,건설자재 영업원,6,영업·판매·운전·운송,4
613203,건설수주 영업원,6,영업·판매·운전·운송,1
613204,일반 제품 영업원,6,영업·판매·운전·운송,1
613900,기타 영업원,6,영업·판매·운전·운송,1
614004,"텔레마케터(쇼핑몰, 백화점, 마트)",6,영업·판매·운전·운송,1
615205,일반상점(슈퍼) 판매원,6,영업·판매·운전·운송,1
615208,가구 판매원,6,영업·판매·운전·운송,1
615210,음식료품 판매원,6,영업·판매·운전·운송,4
621200,선장 및 항해사‧도선사,6,영업·판매·운전·운송,2
621900,철도운송 관련 종사원,6,영업·판매·운전·운송,1
623000,물품 이동 장비 조작원,6,영업·판매·운전·운송,1
623003,호이스트 운전원,6,영업·판매·운전·운송,2
623004,지게차 운전원,6,영업·판매·운전·운송,26
624400,선박 승무원 및 관련 종사원,6,영업·판매·운전·운송,1
624500,하역 및 적재 단순 종사원,6,영업·판매·운전·운송,2
624501,하역·적재 종사원,6,영업·판매·운전·운송,8
624502,물건·이삿짐 운반원,6,영업·판매·운전·운송,1
624600,화물 분류원,6,영업·판매·운전·운송,1
624904,기타 배달원(비정기 배달원),6,영업·판매·운전·운송,1
703100,건설 배관공,7,건설·채굴,2
703102,가스 배관공(가스관 설치원),7,건설·채굴,1
703200,"공업 배관공(플랜트,항공,선박,철도차량)",7,건설·채굴,3
706000,건설 및 광업 단순 종사원,7,건설·채굴,12
706001,조경시설물 설치원,7,건설·채굴,2
706002,건설·채굴 단순 종사원,7,건설·채굴,6
811205,식품기계 설치·정비원,8,설치·정비·생산,2
811206,기타 공업기계 설치·정비원,8,설치·정비·생산,7
811700,건설·광업기계 설치 및 정비원,8,설치·정비·생산,1
813100,금형원,8,설치·정비·생산,2
813101,프레스 금형 제조원,8,설치·정비·생산,10
813102,플라스틱 금형 제조원,8,설치·정비·생산,2
813103,다이캐스팅 금형 제조원,8,설치·정비·생산,1
813104,캐드캠 기능원,8,설치·정비·생산,5
813105,금형제조 보조원,8,설치·정비·생산,1
813200,금속 공작기계 조작원,8,설치·정비·생산,24
813201,CNC 선반 조작원(NC 선반 조작원),8,설치·정비·생산,63
813202,범용 선반 조작원,8,설치·정비·생산,17
813203,CNC 밀링기 조작원(NC 밀링기 조작원),8,설치·정비·생산,5
813204,범용 밀링기조작원,8,설치·정비·생산,9
813205,드릴링기 및 보링기 조작원,8,설치·정비·생산,3
813206,연삭기 및 연마(광택)기 조작원,8,설치·정비·생산,3
813207,프레스기 및 절단기 조작원,8,설치·정비·생산,11
813208,톱기계 조작원,8,설치·정비·생산,1
813209,금속절곡기 조작원(밴딩기 조작원),8,설치·정비·생산,9
813210,머시닝센터(MCT) 조작원,8,설치·정비·생산,24
813212,레이저 절단원,8,설치·정비·생산,6
813213,기타 금속공작기계 조작원 및 보조원,8,설치·정비·생산,10
814000,냉난방 관련 설비 조작원,8,설치·정비·생산,2
814001,산업용 냉난방 설비 조작원,8,설치·정비·생산,1
814002,건물용 냉난방 설비 조작원,8,설치·정비·생산,3
815000,자동 조립라인 및 산업용로봇 조작원,8,설치·정비·생산,1
816100,일반기계 조립원,8,설치·정비·생산,14
816101,공작기계 조립·검사원,8,설치·정비·생산,1
816105,기타 기계 조립·검사원,8,설치·정비·생산,2
816200,기계 부품 조립원,8,설치·정비·생산,8
817200,자동차 부품 조립원(검사원 포함),8,설치·정비·생산,8
817300,운송장비 조립원(항공기·선박·철도기관차·전동차 등 검사원 포함),8,설치·정비·생산,4
821100,금속가공 관련 제어 장치 조작원(용광로·용해로·금속가열로),8,설치·정비·생산,4
821200,금속가공 기계 조작원,8,설치·정비·생산,32
821201,압연기 조작원,8,설치·정비·생산,1
821202,금속 열처리로 조작원,8,설치·정비·생산,3
821203,인발·신선·연선·압출기 조작원,8,설치·정비·생산,3
822201,판금기 조작원,8,설치·정비·생산,1
822300,제관원,8,설치·정비·생산,2
822301,제관원,8,설치·정비·생산,6
822302,제관 보조원(견습공),8,설치·정비·생산,3
823100,단조원,8,설치·정비·생산,1
823101,단조원,8,설치·정비·생산,1
823200,단조기 조작원,8,설치·정비·생산,2
823300,주조원,8,설치·정비·생산,4
823301,"주조원(목형원, 원형원, 주형원)",8,설치·정비·생산,5
823302,주조 보조원(견습공),8,설치·정비·생산,1
823400,주조기 조작원(다이캐스팅기 조작원 포함),8,설치·정비·생산,2
824100,용접원,8,설치·정비·생산,17
824101,가스용접원(산소용접원),8,설치·정비·생산,2
824102,"전기용접원(아크,알곤,티그용접원)",8,설치·정비·생산,12
824104,조선용접원(조선취부사 포함),8,설치·정비·생산,2
824105,납땜원,8,설치·정비·생산,1
824106,기타 용접원,8,설치·정비·생산,2
824107,용접 사상원 및 보조원,8,설치·정비·생산,8
824200,용접기 조작원,8,설치·정비·생산,3
834000,전기 및 전자설비 조작원,8,설치·정비·생산,9
834001,아파트 전기관리원,8,설치·정비·생산,1
834002,빌딩 전기관리원,8,설치·정비·생산,7
834003,공장 전기관리원,8,설치·정비·생산,1
834004,기타 전기·전자 설비 조작원,8,설치·정비·생산,4
835100,전기 부품 및 제품 제조 기계 조작원,8,설치·정비·생산,1
835300,전자 부품 및 제품 제조 기계 조작원,8,설치·정비·생산,1
836000,전기·전자 부품 및 제품 조립원,8,설치·정비·생산,16
836001,전기 부품·제품 조립·검사원,8,설치·정비·생산,4
851200,화학물 가공 장치 조작원,8,설치·정비·생산,1
852100,타이어 및 고무제품 생산기 조작원,8,설치·정비·생산,2
852101,고무 사출성형기 조작원,8,설치·정비·생산,3
852102,고무 압출성형기 조작원,8,설치·정비·생산,1
852103,고무 프레스기 조작원,8,설치·정비·생산,5
852200,플라스틱제품 생산기 조작원,8,설치·정비·생산,3
852201,플라스틱 사출성형기 조작원,8,설치·정비·생산,2
852300,화학제품 생산기 조작원,8,설치·정비·생산,1
852303,의약품 생산기계 조작원,8,설치·정비·생산,1
852401,고무제품 조립원 및 검사원,8,설치·정비·생산,3
852402,플라스틱제품 조립원 및 검사원,8,설치·정비·생산,6
861100,"섬유 제조 기계 조작원(방적,방사,연사,합사,권사기 등)",8,설치·정비·생산,2
861201,제직기(직조기) 조작원,8,설치·정비·생산,1
862200,재단사,8,설치·정비·생산,1
862300,재봉사,8,설치·정비·생산,1
862301,재봉사(의류·직물),8,설치·정비·생산,3
864200,신발 제조기 조작원,8,설치·정비·생산,1
864300,세탁 기계 조작원,8,설치·정비·생산,1
864900,기타 직물‧신발 관련 기계 조작원,8,설치·정비·생산,2
871100,제과원 및 제빵사,8,설치·정비·생산,4
872100,정육 가공원 및 도축원,8,설치·정비·생산,2
872102,정육원,8,설치·정비·생산,3
872300,도시락 제조원,8,설치·정비·생산,1
872900,"기타 식품 가공 관련 기능 종사원(건강원,탕제원 등)",8,설치·정비·생산,2
873101,육류 가공기계 조작원,8,설치·정비·생산,3
873102,어패류(수산물) 가공기계 조작원,8,설치·정비·생산,10
873900,"기타 식품가공 관련 기계 조작원(유지, 장류, 조미식품, 설탕, 커피, 담배 등)",8,설치·정비·생산,3
881103,그라비어 인쇄기 조작원,8,설치·정비·생산,2
881104,스크린 인쇄기 조작원(실크스크린 포함),8,설치·정비·생산,1
882100,목재 가공 관련 기계 조작원,8,설치·정비·생산,1
883100,가구 제조 및 수리원,8,설치·정비·생산,1
883101,가구 제조원,8,설치·정비·생산,3
883200,가구 조립원,8,설치·정비·생산,1
883300,목제품 제조 관련 종사원,8,설치·정비·생산,5
884100,공예원,8,설치·정비·생산,1
885900,기타 기계 조작원,8,설치·정비·생산,3
885902,주입·포장·상표부착기 등 기타 기계 조작원,8,설치·정비·생산,1
890000,기타 제조 관련 단순 종사원,8,설치·정비·생산,122
890001,기계·금속 분야 단순 종사원,8,설치·정비·생산,25
890002,단순 사상원(용접사상 제외-용접원구분),8,설치·정비·생산,8
890003,화학·환경·에너지 분야 단순 종사원,8,설치·정비·생산,2
890004,섬유·의복 분야 단순 종사원,8,설치·정비·생산,2
890005,전기·전자 분야 단순 종사원,8,설치·정비·생산,2
890006,식품 분야 단순 종사원,8,설치·정비·생산,46
890007,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",8,설치·정비·생산,4
901502,식물 관리원,9,농림어업,1
902400,가금 사육원,9,농림어업,1
904100,양식원,9,농림어업,2
904200,어부 및 해녀,9,농림어업,2
905100,농업 관련 단순 종사원,9,농림어업,1
905300,어업 관련 단순 종사원,9,농림어업,6
